episode,character,line
S01E01,JERRY,(to the door) Yeah?
S01E01,KESSLER,Are you up?
S01E01,JERRY,"(to Kessler) Yeah. (to the phone) Yeah, people do move. Have you ever seen the big trucks out on the street? Yeah, no problem."
S01E01,KESSLER,"Boy, the Mets blew it tonight, huh?"
S01E01,JERRY,"(upset) Ohhhh, what are you doing? Kessler, its a tape! I taped the game, its one oclock in the morning! I avoided human contact all night to watch this."
S01E01,KESSLER,"Hey, Im sorry, I- you know, I, I thought you knew. (takes two loaves of bread out of his pockets, and holds them out to Jerry.) You got any meat?"
S01E01,JERRY,"Meat? I dont, I dont know, go... hunt! (Kessler opens the refrigerator and sticks his head in.) Well what happened in the game anyway?"
S01E01,KESSLER,"(from the refrigerator) What happened? Well, they STUNK, thats what happened!"
S01E01,KESSLER,"You know, I almost wound up going to that game."
S01E01,JERRY,(cynical) Yeah you almost went to the game. You havent been out of the building in ten years!
S01E01,KESSLER,"Yeah. (Jerry sits down on the couch. Kessler walks over with his sandwich and looks at Jerry and uses expressions to ask Jerry to move the newspapers on the other side of the couch so he could site down. Kessler sits down next to him and starts turning over the pages of a magazine. Suddenly he spots an article he likes and tears it out. Jerry gives him a look as if to say, Do you mind?) Are you done with this?"
S01E01,JERRY,No.
S01E01,KESSLER,"When youre done, let me know."
S01E01,JERRY,"Yeah, yeah...you can have it tomorrow."
S01E01,KESSLER,I thought I wasnt allowed to be in here this weekend.
S01E01,JERRY,"No, its okay now, that, that girl is not comin. Uh, I misread the whole thing."
S01E01,KESSLER,You want me to talk to her?
S01E01,JERRY,I dont think so.
S01E01,KESSLER,"Oh, I can be very persuasive. Do you know that I was almost... a lawyer."
S01E01,JERRY,"That close, huh?"
S01E01,KESSLER,You better believe it.
S01E01,JERRY,"Hello...Oh, hi, Laura."
S01E01,KESSLER,"Oh, give me it...let me talk to her."
S01E01,JERRY,"(to the phone) No believe me, Im always up at this hour. How are you?... Great... Sure... What time does the plane get in?... I got my friend George to take me..."
S01E01,KESSLER,(to the TV) SLIDE! Wow!
S01E01,JERRY,"No, its, its just my neighbour... Um... Yeah, I got it. (Jerry takes a pencil and a cereal box to write on.) Ten-fifteen... No, dont be silly, go ahead and ask... Yeah, sure... Okay, great, no no, its no trouble at all... Ill see you tomorrow... Great, bye. (He hangs up the phone; to Kessler) I dont believe it. That was her. She wants to stay here!"
S01E01,JERRY,"If my father was moving this hed had to have a cigarette in his mouth the whole way. (as his father) 'Have you got your end?...Your ends got to come down first, easy now, drop it down...drop it down, your ends got to come down.'"
S01E01,GEORGE,"You know, I cant believe youre bringin in an extra bed for woman that wants to sleep with you. Why dont you bring in an extra guy too?"
S01E01,JERRY,"Look, its a very awkward situation. I dont wanna be presumptuous."
S01E01,GEORGE,"All right, all right, one more time, one more time! What was the exact phrasing of the request?"
S01E01,JERRY,"All right, she said she couldnt find a decent hotel room..."
S01E01,GEORGE,A decent hotel-room...
S01E01,JERRY,"Yeah, a decent hotel-room, would it be terribly inconvenient if she stayed at my place."
S01E01,GEORGE,"You cant be serious. This is New York city. There must be eleven million decent hotel rooms! Whatta you need? A flag? (waving his handkerchief) This is the signal, Jerry, this is the signal!"
S01E01,JERRY,"(cynical) This is the signal? Thank you, Mr. Signal. Where were you yesterday?"
S01E01,GEORGE,I think I was affected by the caffeine.
S01E01,GEORGE,"Ho, ho, ho, good dog, good dog..."
S01E01,KESSLER,"Hey, he really likes you, George."
S01E01,GEORGE,"Well, thats flattering."
S01E01,KESSLER,"Oh, hes gettin a drink of water. (pointing to the mattress) Is this for that girl?"
S01E01,JERRY,Yeah.
S01E01,KESSLER,Why even give her an option?
S01E01,JERRY,"This is a person I like, its not How to score on spring break."
S01E01,GEORGE,"Right, can we go? Cause Im double-parked, Im gonna get a ticket."
S01E01,JERRY,"Yeah, okay. Oh, wait a second. Oh, I forgot to clean the bathroom."
S01E01,GEORGE,So what? Thats good.
S01E01,JERRY,"Now, how could that be good?"
S01E01,GEORGE,"Because filth is good. Whaddaya think, rock stars have sponges and ammonia lyin around the bathroom? They, have a woman comin over, Ive gotta tidy up? Yeah right, in these matters you never do what your instincts tell you. Always, ALWAYS do the opposite."
S01E01,JERRY,This is how you operate?
S01E01,GEORGE,"Yeah, I wish."
S01E01,JERRY,Let me just wipe the sink.
S01E01,KESSLER,Why even give her an option for?
S01E01,KESSLER,"(to George, pointing at the mattress) Its unbelievable."
S01E01,GEORGE,Yeah.
S01E01,KESSLER,Hows the real estate-business?
S01E01,GEORGE,"(feeling awkward) Its uh, not bad, its comin along. Why? Did you need something."
S01E01,KRAMER,Do you handle any of that commercial...real estate?
S01E01,GEORGE,"Well, I might be getting into that."
S01E01,KESSLER,(slaps George on the arm) You keep me posted!
S01E01,GEORGE,"Im aware of you. (to Jerry) All right, lets go (opens the bathroom door) Lets go!"
S01E01,JERRY,"The dating world is not a fun world...its a pressure world, its a world of tension, its a world of pain...and you know, if a woman comes over to my house, I gotta get that bathroom ready, cause she needs things. Women need equipment. I dont know what they need. I know I dont have it, I know that- You know what they need, women seem to need a lot of cotton-balls. This is the one Im- always has been one of the amazing things to me...I have no cotton-balls, were all human beings, what is the story? Ive never had one...I never bought one, I never needed one, Ive never been in a situation, when I thought to myself I could use a cotton-ball right now. I can certainly get out of this mess. Women need them and they dont need one or two, they need thousands of them, they need bags, theyre like peat moss bags, have you ever seen these giant bags? Theyre huge and two days later, theyre out, theyre gone, the, the bag is empty, where are the cotton-balls, ladies? What are you doin with them? The only time I ever see em is in the bottom of your little waste basket, theres two or three, that look like theyve been through some horrible experience... tortured, interrogated, I dont know what happened to them. I once went out with a girl whos left a little zip-lock-baggy of cotton-balls over at my house. I dont know what to do with them, I took them out, I put them on my kitchen floor like little tumbleweeds. I thought maybe the cockroaches would see it, figure this is a dead town. Lets move on. The dating world is a world of pressure. Lets face it a date is a job interview that lasts all night. The only difference between a date and a job interview is not many job interviews is there a chance youll end up naked at the end of it. You know? Well, Bill, the boss thinks youre the man for the position, why dont you strip down and meet some of the people youll be workin with?"
S01E01,JERRY,Wouldnt it be great if you could ask a woman what shes thinking?
S01E01,GEORGE,"What a world that would be, if you just could ask a woman what shes thinkin."
S01E01,JERRY,"You know, instead, Im like a detective. I gotta pick up clues, the whole thing is a murder investigation."
S01E01,GEORGE,"Listen, listen, dont get worked up, cause youre gonna know the whole story the minute she steps off the plane."
S01E01,JERRY,Really? How?
S01E01,GEORGE,Cause its all in the greeting.
S01E01,JERRY,Uh-huh.
S01E01,GEORGE,"All right, if she puts the bags down before she greets you, thats a good sign."
S01E01,JERRY,Right.
S01E01,GEORGE,"You know, anything in the, in the lip area is good."
S01E01,JERRY,Lip area.
S01E01,GEORGE,You know a hug definitely good.
S01E01,JERRY,Hug is definitely good.
S01E01,GEORGE,Sure.
S01E01,JERRY,"Although what if its one of those hugs where the shoulders are touching, the hips are eight feet apart?"
S01E01,GEORGE,"Thats so brutal, I hate that."
S01E01,JERRY,You know how they do that?
S01E01,GEORGE,"Thats why, you know, a shake is bad."
S01E01,JERRY,"Shake is bad, but what if its the two-hander? The hand on the bottom, the hand on the top, the warm look in the eyes?"
S01E01,GEORGE,Hand sandwich.
S01E01,JERRY,Right.
S01E01,GEORGE,"I see, well, thats open to interpretation. Because so much depends on the layering and the quality of the wetness in the eyes."
S01E01,LAURA,Guess who?
S01E01,JERRY,"Hey, hey."
S01E01,LAURA & JERRY,Heeeey!
S01E01,JERRY,Its good to see you.
S01E01,LAURA,Hi.
S01E01,JERRY,This is my friend George.
S01E01,LAURA,"Hi, how nice to meet you."
S01E01,GEORGE,"Hi, how are you?"
S01E01,JERRY,This is Laura.
S01E01,GEORGE,"Laura, sure."
S01E01,JERRY,(to Laura) I cant believe youre here.
S01E01,GEORGE & JERRY,"Ooh yeah, the bags, sure."
S01E01,LAURA,"Oh, thank you."
S01E01,JERRY,"(aside, to George) Now that was an interesting greeting, did you notice that, George?"
S01E01,GEORGE,"Yes, the surprise blindfold greeting. That wasnt in the manual, I dont know."
S01E01,JERRY,"So uh, what do you think?"
S01E01,LAURA,"Ooohhh, wow! This place isnt so bad."
S01E01,JERRY,"Yeah, it kind a motivates me to work on the road. So uh, make yourself at home. (Laura sits down on the couch, takes off her shoes and opens some buttons of her shirt.) So uh, can I get you anything? Uuhhh, bread, water...salad-dressing?"
S01E01,LAURA,"(laughs) Actually, um, do you have any wine?"
S01E01,JERRY,"Uh, yeah, I think I do."
S01E01,LAURA,"(referring to a lamp) Oh, do you mind if I turn this down?"
S01E01,JERRY,"Uh, no, yeah, go right ahead."
S01E01,LAURA,"Uh, Jerry, uh, I was wandering, would it be possible  and if its not, fine  for me to stay here tomorrow night too?"
S01E01,JERRY,"Uh, yeah, yeah, sure, why dont you stay? Yeah, uhm...What is your, what is your schedule for tomorrow? Are you, are you doin anything?"
S01E01,LAURA,"No, Id love to do something. Uh, I have my seminar in the morning, then after that Im right open."
S01E01,JERRY,Really? What would you like to do?
S01E01,LAURA,"Well... now I know this sounds touristy, but Id just love to go on one of those five-hour boat rides around Manhattan."
S01E01,JERRY,"(unenthusiastic) Yeah, we could do that...why not, why not. (pouring the wine) Im just, Im really glad youre here."
S01E01,JERRY,"(answering) Yeah, hello...yes...yes, she is, hold on. (to Laura) Um, its for you."
S01E01,LAURA,"(to the phone) Hello?... Hi!... No no it was great, right on time... No, I, Im gonna stay here tomorrow...yes, yes its fine... No, were goin on a boat ride... Dont be silly... Im not gonna have this conversation... Look, Ill call you tomorrow... Okay, bye. (She hangs up the phone.) Never get engaged."
S01E01,JERRY,(not excited) Youre engaged?
S01E01,LAURA,"You, you really have no idea what its like until you actually do it. And Im on this emotional roller coaster."
S01E01,JERRY,Youre engaged?
S01E01,LAURA,"You know, I cant believe it myself sometimes. You have to start thinking in terms of we. Ugh, its a very stressful situation."
S01E01,JERRY,(matter-of-factly) Youre engaged.
S01E01,LAURA,"Yeah, yeah, hes a great guy..."
S01E01,JERRY,Yeah.
S01E01,LAURA,"Youd really like him, you know, I cant wait to get on that boat."
S01E01,JERRY,Me too!
S01E01,JERRY,"I swear, I have absolutely no idea what women are thinking. I dont get it, okay? I, I, I admit, I, Im not getting the signals. I am not getting it! Women, theyre so subtle, their little...everything they do is subtle. Men are not subtle, we are obvious. Women know what men want, men know what men want, what do we want? We want women, thats it! Its the only thing we know for sure, it really is. We want women. How do we get them? Oh, we dont know bout that, we dont know. The next step after that we have no idea. This is why you see men honking car-horns, yelling from construction sites. These are the best ideas weve had so far. The car-horn honk, is that a beauty? Have you seen men doing this? What is this? The man is in the car, the woman walks by the front of the car, he honks. E-eeehh, eehhh, eehhh! This man is out of ideas. How does it...? E-e-e-eeeehhhh! I dont think she likes me. The amazing thing is, that we still get women, dont we? Men, I mean, men are with women. You see men with women. How are men getting women, many people wonder. Let me tell you a little bit about our organization. Wherever women are, we have a man working on the situation right now. Now, he may not be our best man, okay, we have a lot of areas to cover, but someone from our staff is on the scene. Thats why, I think, men get frustrated, when we see women reading articles, like Where to meet men? Were here, we are everywhere. Were honking our horns to serve you better."
S01E01,JERRY,"So, Im on line at the supermarket. Two women in front of me. One of them, her total was eight dollars, the other three dollars. They both of course choose to pay by the use of the..."
S01E01,AUDIENCE,Cheque.
S01E01,JERRY,"Cheque. Now, the fact is, if its a woman in front of you thats writing the cheque, you will not be waiting long. I have noticed that women are very fast with cheques, yknow, cause they write out so many cheques. The keys, they can never find in their purse, they dont know where that is, but the cheque book they got that. They never fumble for the cheque book. The cheque book comes out of a holster (Jerry draws imaginary book from a holster.) Who do I make it out to? Theres my ID. Theres something about a cheque that, to a man, is not masculine. I dont know exactly what it is. I think to a man, a cheque is like a note from your mother that says, I dont have any money, but if youll contact these people, Im sure theyll stick up for me... If you just trust me this one time- I dont have any money but I have these. I wrote on these. Is this of any value at all?"
S01E01,JERRY,Whats that one?
S01E01,ELAINE,Coccoon II The Return. I guess they didnt like it up there.
S01E01,JERRY,"Maybe they came back for Chinese food. Yknow Maureen Stapleton, if she gets a craving, shes probably screamin at those aliens, I gotta have a lo mein!"
S01E01,ELAINE,"Okay, whatre we doing here? I have seen everything."
S01E01,JERRY,Oh yeah? I dont believe youve seen... this.
S01E01,ELAINE,"Oh, lovely."
S01E01,JERRY,Yeah.
S01E01,ELAINE,What do you think their parents think?
S01E01,JERRY,"So, uh, whats your son doing now, Dr. Stevens? Oh, hes a public fornicator. Yes, hes a fine boy..."
S01E01,ELAINE,Yknow what? This would be a really funny gift for Pamelas birthday.
S01E01,JERRY,Pamela? Do I know her?
S01E01,ELAINE,"Yeah, you met her when we were going out."
S01E01,JERRY,"Oh yeah, right..."
S01E01,ELAINE,"You have no idea who Im talking about, do you?"
S01E01,JERRY,(quickly) No.
S01E01,ELAINE,"Blonde hair, remember? Glasses? (pause) Have you totally blocked out the entire time we were a couple?"
S01E01,JERRY,(a lightbulb goes on in his head) Riverside Drive.
S01E01,ELAINE,"Right! In fact... No, never mind..."
S01E01,JERRY,"Well, what is it?"
S01E01,ELAINE,"Well, a bunch of people are getting together tomorrow night at some bar for her birthday, but... (Jerry turns in disgust) you dont want to go to... that... no."
S01E01,JERRY,"Wait a second, wait a second. We could work out a little deal here."
S01E01,ELAINE,What little deal?
S01E01,JERRY,"I will go to that, if you go with me to a little family wedding I have on Saturday."
S01E01,ELAINE,"A wedding? Have you lost it, man?"
S01E01,JERRY,"Yknow, my parents are coming in for this..."
S01E01,ELAINE,Theyre coming in?
S01E01,JERRY,"Yeah, tomorrow."
S01E01,ELAINE,"Hey, did your father ever get that hair weave?"
S01E01,JERRY,"No, no. Still doin the big sweep across."
S01E01,ELAINE,Why does he do that?
S01E01,JERRY,"Doesnt think anyone can tell. So cmon, do we have a deal?"
S01E01,ELAINE,A wedding?
S01E01,JERRY,Theres a lot of people to mock...
S01E01,ELAINE,"All right, what the hell."
S01E01,JERRY,Great!
S01E01,WOMAN,"When youre dead, youre dead. Thats it. Youre not goin anywhere..."
S01E01,ELAINE,Cmon lets go...
S01E01,JERRY,Was I supposed to bring something?
S01E01,ELAINE,You could have.
S01E01,JERRY,I met her one time...
S01E01,ELAINE,It is not necessary.
S01E01,JERRY,What did you say then?
S01E01,ELAINE,Sssshhhhhh!!!
S01E01,PAMELA,Hi
S01E01,ELAINE,"Hi, Pamela, you remember Jerry."
S01E01,PAMELA,"(shakes Jerry's hand) Yes, we met."
S01E01,JERRY,"Hi, happy birthday."
S01E01,PAMELA,"Thanks, ah, everybody, this is Elaine and Jerry."
S01E01,"GUESTS, JERRY & ELAINE",Hi
S01E01,JERRY,I didnt bring anything.
S01E01,PAMELA,"Uh, I put you two right here."
S01E01,JERRY,"Oh, Okay (turns to rest of table) Im sorry, I didnt know what to bring, nobody told me."
S01E01,VANESSA,How big a tip do you think itd take to get him to stop?
S01E01,JERRY,Im in for five...
S01E01,VANESSA,Ill supply the hat.
S01E01,JERRY,(thinking) Uh-oh... What do we have here?
S01E01,VANESSA,Why dont you relax and take your jacket off?
S01E01,JERRY,"Oh, I cant. Uh, I have a tendency to get chilly."
S01E01,VANESSA,How masculine.
S01E01,JERRY,"Plus Im wearing short sleeves, I dont want to expose my tattoos. (Vanessa smiles; thinking) Shes unbelievable!"
S01E01,ROGER,"(to Vanessa) Hey, this guy says he knows Bricker."
S01E01,VANESSA,"Oh, you know Bricker! From where?"
S01E01,JERRY,"(thinking) Whats going on here? Gotta be her boyfriend, shes too good to be alone. Whats the difference, I cant maneouver anyway with Elaine next to me."
S01E01,VANESSA,(to Jerry) How do you know Pamela?
S01E01,JERRY,"Uh, friend of a friend. And you?"
S01E01,VANESSA,We went to law school together.
S01E01,ELAINE,"(interrupting Jerry's conversation) Oh, Jerry!"
S01E01,JERRY,"(turning to Elaine; thinking) Oh no, not now."
S01E01,ELAINE,I had this dream last night and you were in it.
S01E01,JERRY,"Oh really? (tries turning away in the hopes Elaine gets the hint; thinking) Oh God, I gotta get out of this."
S01E01,ELAINE,"You were you, but, you werent you..."
S01E01,JERRY,"No kidding. (thinking) Why is this happening? Please, make her stop!"
S01E01,ELAINE,"I think, I think we were in my house where I grew up, and you were standing there, you were looking out the window..."
S01E01,JERRY,(thinking) This is brutal.
S01E01,ELAINE,You turned around and you had these wooden teeth.
S01E01,JERRY,"How do you like that? (tries to turn away again; thinking)Can I turn now? Is this over? No, I cant, I cant. Im stuck."
S01E01,ELAINE,(noticing Jerry not wanting to listen; annoyed) Jerry? Are you listening to me?
S01E01,JERRY,"Yes, I heard you."
S01E01,PAMELA,"Elaine, whats the name of that jewelry store you took me to that time?"
S01E01,JERRY,"(thinking) Thank you, Pamela! (turns to talk to Vanessa; to Vanessa) So, youre a lawyer..."
S01E01,VANESSA,"Sagman, Bennet, Robbins, Oppenheim and Taft."
S01E01,JERRY,"(thinking) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft... (to Vanessa) Of course, they handled my tattoo removal lawsuit."
S01E01,VANESSA,"Oh, that was you?"
S01E01,JERRY,"Imagine, spelling Mom with two Os."
S01E01,VANESSA,Very funny! What do you do?
S01E01,JERRY,Comedian.
S01E01,VANESSA,Really? That explains it.
S01E01,JERRY,"(thinking; quickly) Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppenheim and Taft."
S01E01,ROGER,Are you ready?
S01E01,VANESSA,We gotta run. Happy birthday!
S01E01,JERRY,"(thinking) I cant believe it. I got nothing! I dont even know her name! Sagman, Bennet, Robbins, Oppenheim and Taft. Sagman, Bennet, Robbins, Oppen... Sagman... Sag..."
S01E01,JERRY,"That wasnt so bad, really."
S01E01,ELAINE,"Yknow, um, you could use a little work on your manners."
S01E01,JERRY,Why? What did I do?
S01E01,ELAINE,"Wel-Well, I just dont appreciate these little courtesy responses, like Im selling you aluminum siding."
S01E01,JERRY,I was listening!
S01E01,ELAINE,No! You couldnt wait to get back to your little... conversation.
S01E01,JERRY,"No, you were talking about the, the um, the dream you had."
S01E01,ELAINE,Uh-huh...
S01E01,JERRY,"Where you had, uh, wooden teeth."
S01E01,ELAINE,"No! No! You had wooden teeth! You had wooden teeth! I didnt have wooden teeth, you did!"
S01E01,JERRY,"All right, so I had wooden teeth, so what?"
S01E01,ELAINE,So nothing! Nothing. (annoyed sigh)
S01E01,JERRY,"Apparently Plato, who came up with the concept of the platonic relationship, was pretty excited about it. He named it after himself. He said, Yeah, I got this new thing Platonic. My idea, my name, callin it after myself. What I do is, I go out with the girls, I talk with them- dont do anything, and go right home. Whatd you think? I think its going to be big! I bet you there were other guys in history that tried to get relationships named after them, but it didnt work. Yknow, I bet you there were guys who tried to do it, just went, Uh, Hi, uh my names Rico. Would you like to go to bed immediately? Hey, its a Riconic relationship."
S01E01,JERRY,Hey!
S01E01,MORTY,"Ah, there he is!"
S01E01,JERRY,"This is what I like, see? You come home and your parents are in your bed!"
S01E01,HELEN,"Yknow, Jerry, we dont have to do this."
S01E01,JERRY,"What are you talkin about? Its fine, I love having you here."
S01E01,HELEN,Tomorrow well go to a hotel.
S01E01,JERRY,"Ma, will you stop?"
S01E01,HELEN,"No, why should we take over your apartment?"
S01E01,JERRY,I dont care. Im sleeping next door.
S01E01,HELEN,Your friend Kramer doesnt mind?
S01E01,JERRY,"No, hes making a bouillabaisse."
S01E01,JERRY,"So, dad, lemme ask you a question. How many people work at these big law offices?"
S01E01,MORTY,Depends on the firm.
S01E01,JERRY,"Yeah, but if you called up and described someone, do you think they would know who it was?"
S01E01,MORTY,Whats the matter? You need a lawyer?
S01E01,JERRY,"No, I met someone at this party, and I know where she works, but I dont know her name."
S01E01,MORTY,So why dont you ask someone who was at the party?
S01E01,JERRY,"Nah, the only one I could ask is Elaine, and I cant ask her."
S01E01,HELEN,Why not?
S01E01,JERRY,Because its complicated. Theres some tension there.
S01E01,HELEN,He used to go with her.
S01E01,HELEN,Which one is she?
S01E01,MORTY,From Maryland. The one who brought you the chocolate covered cherries you didnt like.
S01E01,HELEN,"Oh yeah, very alert. Warm person."
S01E01,JERRY,"Oh yeah, shes great."
S01E01,HELEN,"So, how come nothing materialized there?"
S01E01,JERRY,"Well, its a tough thing to talk about uh. I dunno..."
S01E01,HELEN,I know what it was.
S01E01,JERRY,You dont know what it was.
S01E01,HELEN,"So, what was it?"
S01E01,JERRY,"Well, we fight a lot for some reason."
